title;author;rating;description;language;genres;bookFormat;pages
The Book of Lost Things;John Connolly (Goodreads Author);3.95;High in his attic bedroom, twelve-year-old David mourns the death of his mother, with only the books on his shelf for company. But those books have begun to whisper to him in the darkness. Angry and alone, he takes refuge in his imagination and soon finds that reality and fantasy have begun to meld. While his family falls apart around him, David is violently propelled into a world that is a strange reflection of his own -- populated by heroes and monsters and ruled by a faded king who keeps his secrets in a mysterious book, The Book of Lost Things.Taking readers on a vivid journey through the loss of innocence into adulthood and beyond, New York Times bestselling author John Connolly tells a dark and compelling tale that reminds us of the enduring power of stories in our lives.;English;['Fantasy', 'Fiction', 'Young Adult', 'Horror', 'Fairy Tales', 'Books About Books', 'Adventure', 'Adult', 'Mystery', 'Science Fiction Fantasy'];Hardcover;339
Les Liaisons dangereuses;Pierre Choderlos de Laclos, Douglas Parmée (Translator);4.07;"The complex moral ambiguities of seduction and revenge make Les Liaisons dangereuses (1782) one of the most scandalous and controversial novels in European literature. The subject of major film and stage adaptations, the novel's prime movers, the Vicomte de Valmont and the Marquise de Merteuil, form an unholy alliance and turn seduction into a game - a game which they must win. This new translation gives Laclos a modern voice, and readers will be able a judge whether the novel is as ""diabolical"" and ""infamous"" as its critics have claimed, or whether it has much to tell us about the kind of world we ourselves live in. David Coward's introduction explodes myths about Laclos's own life and puts the book in its literary and cultural context.";English;['Classics', 'Fiction', 'France', 'French Literature', 'Romance', 'Historical Fiction', 'Literature', '18th Century', 'Novels', 'Historical'];Paperback;448
The Storyteller;Jodi Picoult (Goodreads Author);4.27;Some stories live forever . . .Sage Singer is a baker. She works through the night, preparing the day’s breads and pastries, trying to escape a reality of loneliness, bad memories, and the shadow of her mother’s death. When Josef Weber, an elderly man in Sage’s grief support group, begins stopping by the bakery, they strike up an unlikely friendship. Despite their differences, they see in each other the hidden scars that others can’t, and they become companions.Everything changes on the day that Josef confesses a long-buried and shameful secret—one that nobody else in town would ever suspect—and asks Sage for an extraordinary favor. If she says yes, she faces not only moral repercussions, but potentially legal ones as well. With her own identity suddenly challenged, and the integrity of the closest friend she’s ever had clouded, Sage begins to question the assumptions and expectations she’s made about her life and her family. When does a moral choice become a moral imperative? And where does one draw the line between punishment and justice, forgiveness and mercy?In this searingly honest novel, Jodi Picoult gracefully explores the lengths we will go in order to protect our families and to keep the past from dictating the future;English;['Fiction', 'Historical Fiction', 'Holocaust', 'Historical', 'Contemporary', 'Adult Fiction', 'Adult', 'World War II', 'War', 'Drama'];Hardcover;461
Grendel;John Gardner;3.69;"The first and most terrifying monster in English literature, from the great early epic Beowulf, tells his side of the story in a book William Gass called ""one of the finest of our contemporary fictions.""";English;['Fiction', 'Fantasy', 'Classics', 'School', 'Literature', 'Mythology', 'Novels', 'Read For School', 'Philosophy', 'Retellings'];Paperback;174
Tomorrow, When the War Began;John Marsden;4.05;When Ellie and her friends return from a camping trip in the Australian bush, they find things hideously wrong — their families are gone. Gradually they begin to comprehend that their country has been invaded and everyone in their town has been taken prisoner. As the reality of the situation hits them, they must make a decision — run and hide, give themselves up and be with their families, or fight back.;English;['Young Adult', 'Fiction', 'Dystopia', 'Science Fiction', 'Adventure', 'War', 'Survival', 'Post Apocalyptic', 'Australia', 'Teen'];Paperback;276
The Brothers K;David James Duncan;4.38;Duncan took almost 10 years to follow up the publication of his much-praised first novel, The River Why, but this massive second effort is well worth the wait. It is a stunning work: a complex tapestry of family tensions, baseball, politics and religion, by turns hilariously funny and agonizingly sad. Highly inventive formally, the novel is mainly narrated by Kincaid Chance, the youngest son in a family of four boys and identical twin girls, the children of Hugh Chance, a discouraged minor-league ballplayer whose once-promising career was curtained by an industrial accident, and his wife Laura, an increasingly fanatical Seventh-Day Adventist. The plot traces the working-out of the family's fate from the beginning of the Eisenhower years through the traumas of Vietnam.;English;['Fiction', 'Baseball', 'Historical Fiction', 'Sports', 'Novels', 'Literary Fiction', 'Family', 'Literature', 'Classics', 'Religion'];Paperback;645
Wallbanger;Alice Clayton (Goodreads Author);4.05;The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin walls and the guy's athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) like an endless parade of women. And since Caroline is currently on a self-imposed dating hiatus, and her neighbor is clearly lethally attractive to women, she finds her fantasies keep her awake even longer than the noise. So when the wallbanging threatens to literally bounce her out of bed, Caroline, clad in sexual frustration and a pink baby-doll nightie, confronts Simon Parker, her heard-but-never-seen neighbor. The tension between them is as thick as the walls are thin, and the results just as mixed. Suddenly, Caroline is finding she may have discovered a whole new definition of neighborly...In a delicious mix of silly and steamy, Alice Clayton dishes out a hot and hilarious tale of exasperation at first sight...;English;['Romance', 'Contemporary', 'Contemporary Romance', 'Humor', 'New Adult', 'Adult', 'Chick Lit', 'Erotica', 'Fiction', 'Comedy'];Paperback;384
Adhaata Asao's Liege;Afroz Alam (Goodreads Author);4.77;A long time ago... He had imprisoned them in the caverns of Mt. Hemil. They who ravaged the city of Kushlam...The golden capital... The Gods spoke of a Prophecy then... And now it has come to pass. The dark enemy of yore rises. Only an incarnation of Lord Vishnu has the power to defeat and destroy the enemy of Kushlam. A farmer from Bamiyan, unaware of what destiny has in store for him, is pushed into circumstances beyond his control. Will he accept that he is the prophesised Avatar? Will he save Kushlam from its enemies and free the world from the fear of the trapped monsters who have found a way out of their infallible trap?;English;['Fantasy'];Paperback;174
The Book of Negroes;Lawrence Hill;4.46;"Based on a true story, ""The Book of Negroes"" tells the story of Aminata, a young girl abducted from her village in Mali aged 11 in 1755, and who, after a deathly journey on a slave ship where she witnesses the brutal repression of a slave revolt, is sold to a plantation owner in South Carolina, who rapes her. She is brought to New York, where she escapes her owner, and finds herself helping the British by recording all the freed slaves on the British side in the Revolutionary War in The Book of Negroes (a real historical document that can be found today at the National Archives at Kew).Aminata is sent to Nova Scotia to start a new life, but finds more hostility, oppression and tragedy. Separated from her one true love, and suffering the unimaginable loss of both her children who are taken away from her, she eventually joins a group of freed slaves on a harrowing odyssey back to Africa, and ends up in London as a living icon for Wilberforce and the other Abolitionists. ""The Book of Negroes"" is a pageturning narrative that manages to use Aminata's heart-rending personal story to bring to life a harrowing chapter in our history.";English;['Historical Fiction', 'Fiction', 'Canada', 'Historical', 'Africa', 'African American', 'Adult Fiction', 'Book Club', 'Adult', 'Literature'];Paperback;512
Dead Souls;Nikolai Gogol, Robert A. Maguire (Translator);3.97;Dead Souls is eloquent on some occasions, lyrical on others, and pious and reverent elsewhere. Nicolai Gogol was a master of the spoof. The American students of today are not the only readers who have been confused by him. Russian literary history records more divergent interpretations of Gogol than perhaps of any other classic.In a new translation of the comic classic of Russian literature, Chichikov, an enigmatic stranger and conniving schemer, buys deceased serfs' names from their landlords' poll tax lists hoping to mortgage them for profit and to reinvent himself as a likeable gentleman.;English;['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Novels', '19th Century', 'Historical Fiction', 'Humor', 'Classic Literature'];Paperback;464
The Boy Who Sneaks in My Bedroom Window;Kirsty Moseley (Goodreads Author);3.91;Liam James, boy next door and total douchebag, is my brother’s best friend. I can’t stand him. Well, that’s not strictly true, at night I see a side of him that no one else does. Every night Liam becomes my safe haven, my protector, the one to chase the demons of my abusive childhood away and hold all the broken pieces of me together.He’s cocky, he’s arrogant, and he’s also some sort of playboy in training. With his ‘hit it and quit it’ mentality, he’s the last person you’d want to fall in love with. I only wish someone had told my heart that…The international bestselling novel, and finalist of the Goodreads choice awards YA fiction 2012. ;English;['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Abuse', 'High School', 'Contemporary Romance', 'Chick Lit', 'Young Adult Romance', 'Love'];Kindle Edition;242
Shadow of Night;Deborah Harkness (Goodreads Author);4.05;Picking up from A Discovery of Witches’ cliffhanger ending, Shadow of Night takes Diana and Matthew on a trip through time to Elizabethan London, where they are plunged into a world of spies, magic, and a coterie of Matthew’s old friends, the School of Night. As the search for Ashmole 782 deepens and Diana seeks out a witch to tutor her in magic, the net of Matthew’s past tightens around them, and they embark on a very different—and vastly more dangerous—journey.;English;['Fantasy', 'Fiction', 'Romance', 'Paranormal', 'Historical Fiction', 'Vampires', 'Witches', 'Time Travel', 'Magic', 'Urban Fantasy'];Hardcover;584
Quidditch Through the Ages;Kennilworthy Whisp (Pseudonym), J.K. Rowling;3.84;The most checked-out book in the Hogwarts Library, and a volume no Quidditch player or Harry Potter fan should be without!If you have ever asked yourself where the Golden Snitch came from, how the Bludgers came into existence, or why the Wigtown Wanderers have pictures of meat cleavers on their robes, you need QUIDDITCH THROUGH THE AGES. This invaluable volume is consulted by young Quidditch fans on an almost daily basis.Proceeds from the sale of this book will go to Comic Relief, who will use your money to continue improving and changing lives -- work that is even more important and astonishing than the three-and-a-half-second capture of the Golden Snitch by Roderick Plumpton in 1921.;English;['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Magic', 'Middle Grade', 'Short Stories', 'Science Fiction Fantasy', 'Audiobook', 'Young Adult Fantasy'];Hardcover;56
Boy's Life;Robert R. McCammon;4.36;"In me are the memories of a boy's life, spent in that realm of enchantments. These are the things I want to tell you.... Robert McCammon delivers ""a tour de force of storytelling"" (BookPage) in his award-winning masterpiece, a novel of Southern boyhood, growing up in the 1960s, that reaches far beyond that evocative landscape to touch readers universally. Boy's Life is a richly imagined, spellbinding portrait of the magical worldview of the young -- and of innocence lost. Zephyr, Alabama, is an idyllic hometown for eleven-year-old Cory Mackenson -- a place where monsters swim the river deep and friends are forever. Then, one cold spring morning, Cory and his father witness a car plunge into a lake -- and a desperate rescue attempt brings his father face-to-face with a terrible, haunting vision of death. As Cory struggles to understand his father's pain, his eyes are slowly opened to the forces of good and evil that surround him. From an ancient mystic who can hear the dead and bewitch the living, to a violent clan of moonshiners, Cory must confront the secrets that hide in the shadows of his hometown -- for his father's sanity and his own life hang in the balance....";English;['Horror', 'Fiction', 'Fantasy', 'Mystery', 'Coming Of Age', 'Young Adult', 'Magical Realism', 'Thriller', 'Historical Fiction', 'Adventure'];Mass Market Paperback;580
The Death of Ivan Ilych;Leo Tolstoy, Aylmer Maude (Translator), Mehmet Özgül (Translator);4.08;Hailed as one of the world's supreme masterpieces on the subject of death and dying, The Death of Ivan Ilyich is the story of a worldly careerist, a high court judge who has never given the inevitability of his dying so much as a passing thought. But one day, death announces itself to him, and to his shocked surprise, he is brought face to face with his own mortality. How, Tolstoy asks, does an unreflective man confront his one and only moment of truth?This short novel was an artistic culmination of a profound spiritual crisis in Tolstoy's life, a nine-year period following the publication of Anna Karenina during which he wrote not a word of fiction.A thoroughly absorbing, and, at times, terrifying glimpse into the abyss of death, it is also a strong testament to the possibility of finding spiritual salvation.;English;['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Short Stories', 'Philosophy', '19th Century', 'Novels', 'Novella'];Paperback;86
Turtles All the Way Down;John Green (Goodreads Author);3.95;It all begins with a fugitive billionaire and the promise of a cash reward. Turtles All the Way Down is about lifelong friendship, the intimacy of an unexpected reunion, Star Wars fan fiction, and tuatara. But at its heart is Aza Holmes, a young woman navigating daily existence within the ever-tightening spiral of her own thoughts.In his long-awaited return, John Green shares Aza's story with shattering, unflinching clarity.;English;['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Illness', 'Mystery', 'Teen'];Hardcover;286
Blood Bound;Patricia Briggs;4.31;Under the rule of science, there are no witch burnings allowed, no water trials or public lynchings. In return, the average law-abiding, solid citizen has little to worry about from the things that go bump in the night. Sometimes I wish I was an average citizen...Mechanic Mercy Thompson has friends in low places-and in dark ones. And now she owes one of them a favor. Since she can shapeshift at will, she agrees to act as some extra muscle when her vampire friend Stefan goes to deliver a message to another of his kind.But this new vampire is hardly ordinary-and neither is the demon inside of him.;English;['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Werewolves', 'Romance', 'Paranormal Romance', 'Shapeshifters', 'Fiction', 'Supernatural'];Mass Market Paperback;292
Hometown Girl at Heart;Kirsten Fullmer (Goodreads Author);4.3;Tara has always been too engrossed in her work - refurbishing the historical homes in Smithville. She keeps a tight rein on her jobs and her emotions buried, but she’s losing control of both since that ridiculous city boy investor showed up.  New in town, Justin is confident that his ultra modern resorts will bring Smithville into the twenty-first century. If only the local-yokels and their ringleader, the gorgeous and peculiar Tara, would stop interfering.  With her quirky and protective hometown behind her, will Tara confront Justin and the town’s long buried secrets to take on the financial and emotional risk of a lifetime?;English;['Contemporary', 'Fiction', 'Romance', 'Novels', 'New Adult', 'Young Adult', 'Love Story', 'Contemporary Romance', 'Adult', 'Chick Lit'];Paperback;321
The Last Wish;Andrzej Sapkowski, Danusia Stok (Translator);4.13;Geralt the Witcher—revered and hated—is a man whose magic powers, enhanced by long training and a mysterious elixir, have made him a brilliant fighter and a merciless assassin. Yet he is no ordinary murderer: his targets are the multifarious monsters and vile fiends that ravage the land and attack the innocent. But not everything monstrous-looking is evil and not everything fair is good... and in every fairy tale there is a grain of truth.;English;['Fantasy', 'Fiction', 'Short Stories', 'High Fantasy', 'Audiobook', 'Magic', 'Adult', 'Adventure', 'Polish Literature', 'Epic Fantasy'];Kindle Edition;360
For the Love of Armin;Michael G. Kramer (Goodreads Author);4.32;In September of the year 9 A.D., the young Germanic warrior known as Armin to his friends and Arminius to his Roman enemies, successfully took on and defeated three entire Roman legions. This resulted in the deaths of over twenty thousand Roman soldiers. This in turn resulted in the Roman emperor called Tiberius recalling all Roman military units from Germania. The Germanic tribes would associate for their common good, often meeting and forming up for offensive or defensive war, but they were always separate and very independent. Armin knew that the best way to ensure that his country was not bothered by outside invaders again was to become a single country complete with it own army and navy. In this he crossed swords with the independent temper of his own people. They did not want any king from anywhere telling them what to do. In due course, this resulted in even the members of his own family taking up arms against him in order to make sure that the tribes of Germania remained independent and free. Such was the concern of the ancient Germanic tribesmen that this might not be the case, that Armin was murdered by the members of his own family.;;['Fiction', 'Adventure', 'Novels', 'New Adult', 'Historical Fiction', 'Adult', 'Young Adult', 'Historical', 'Love Story', 'Romance'];Kindle Edition;325
Magic Bleeds;Ilona Andrews (Goodreads Author);4.45;Kate Daniels works for the Order of the Knights of Merciful Aid, officially as a liaison with the mercenary guild. Unofficially, she cleans up the paranormal problems no one else wants to handle—especially if they involve Atlanta’s shapeshifting community.When she’s called in to investigate a fight at the Steel Horse, a bar midway between the territories of the shapeshifters and the necromancers, Kate quickly discovers there’s a new player in town. One who’s been around for thousands of years—and rode to war at the side of Kate’s father.This foe may be too much even for Kate and Curran, the Lord of the Beasts, to handle. Because this time, Kate will be taking on family…;English;['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Vampires', 'Paranormal Romance', 'Shapeshifters', 'Adult', 'Werewolves'];Mass Market Paperback;349
Harry Potter and the Cursed Child: Parts One and Two;John Tiffany (Adaptation), Jack Thorne, J.K. Rowling;3.62;Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London’s West End on July 30, 2016.It was always difficult being Harry Potter and it isn’t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children.While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.;English;['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Drama', 'Time Travel', 'Childrens', 'Middle Grade'];Hardcover;343
People of the Book;Geraldine Brooks (Goodreads Author);4.02;From the Pulitzer Prize–winning author of March, the journey of a rare illuminated manuscript through centuries of exile and warIn 1996, Hanna Heath, an Australian rare-book expert, is offered the job of a lifetime: analysis and conservation of the famed Sarajevo Haggadah, which has been rescued from Serb shelling during the Bosnian war. Priceless and beautiful, the book is one of the earliest Jewish volumes ever to be illuminated with images. When Hanna, a caustic loner with a passion for her work, discovers a series of tiny artifacts in its ancient binding—an insect wing fragment, wine stains, salt crystals, a white hair—she begins to unlock the book’s mysteries. The reader is ushered into an exquisitely detailed and atmospheric past, tracing the book’s journey from its salvation back to its creation. In Bosnia during World War II, a Muslim risks his life to protect it from the Nazis. In the hedonistic salons of fin-de-siècle Vienna, the book becomes a pawn in the struggle against the city’s rising anti-Semitism. In inquisition-era Venice, a Catholic priest saves it from burning. In Barcelona in 1492, the scribe who wrote the text sees his family destroyed by the agonies of enforced exile. And in Seville in 1480, the reason for the Haggadah’s extraordinary illuminations is finally disclosed. Hanna’s investigation unexpectedly plunges her into the intrigues of fine art forgers and ultra-nationalist fanatics. Her experiences will test her belief in herself and the man she has come to love. Inspired by a true story, People of the Book is at once a novel of sweeping historical grandeur and intimate emotional intensity, an ambitious, electrifying work by an acclaimed and beloved author.;English;['Historical Fiction', 'Fiction', 'Historical', 'Books About Books', 'Mystery', 'Book Club', 'Jewish', 'Religion', 'Adult Fiction', 'Audiobook'];Hardcover;372
The Cuckoo's Calling;Robert Galbraith;3.86;After losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as a private investigator. Then John Bristow walks through his door with an amazing story: His sister, the legendary supermodel Lula Landry, famously fell to her death a few months earlier. The police ruled it a suicide, but John refuses to believe that. The case plunges Strike into the world of multimillionaire beauties, rock-star boyfriends, and desperate designers, and it introduces him to every variety of pleasure, enticement, seduction, and delusion known to man.;English;['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Adult', 'Contemporary', 'Detective', 'Adult Fiction'];Hardcover;456
Monsters of Men;Patrick Ness;4.24;As a world-ending war surges to life around them, Todd and Viola face monstrous decisions. The indigenous Spackle, thinking and acting as one, have mobilized to avenge their murdered people. Ruthless human leaders prepare to defend their factions at all costs, even as a convoy of new settlers approaches. And as the ceaseless Noise lays all thoughts bare, the projected will of the few threatens to overwhelm the desperate desire of the many. The consequences of each action, each word, are unspeakably vast: To follow a tyrant or a terrorist? To save the life of the one you love most or thousands of strangers? To believe in redemption or assume it is lost? Becoming adults amid the turmoil, Todd and Viola question all they have known, racing through horror and outrage toward a shocking finale.;English;['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Fiction', 'Adventure', 'War', 'Romance', 'Teen', 'Aliens'];Paperback;643
The Constitution of the United States of America;Founding Fathers;4.54;The complete text of the United States Constitution, including all of the amendments. This inexpesnive pamphlet edition is sure to be prized by Americans of all ages.;English;['History', 'Nonfiction', 'Politics', 'Classics', 'Philosophy', 'Law', 'Reference', 'American History', 'Historical', 'Political Science'];Paperback;30
Masquerade;Melissa de la Cruz (Goodreads Author);3.91;Schuyler Van Alen is starting to get more comfortable with her newfound vampire powers, but she still has many unanswered questions. A trip to Italy in search of her grandfather only serves to make things more confusing. What secrets are the leaders of The Committee hiding? Meanwhile, back in New York, preparations are feverishly underway for the famous Four Hundred Ball. In true Blue Blood fashion, the ball is totally fab, complete with masksâ€”and hidden behind this masquerade is a revelation that will change the course of a young vampireâ€™s destiny.The thrilling sequel in Melissa de la Cruzâ€™s vampire mythology has all the glamour, attitude, and vampire lore that made the first book a hit.;English;['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Angels', 'Urban Fantasy', 'Fiction', 'Paranormal Romance'];Hardcover;307
The High Lord;Trudi Canavan;4.12;In the city of Imardin, where those who wield magic wield power, a young street-girl, adopted by the Magician's Guild, finds herself at the centre of a terrible plot that may destroy the entire world...Sonea has learned much at the magicians' guild and the other novices now treat her with a grudging respect. But she cannot forget what she witnessed in the High Lord's underground room - or his warning that the realm's ancient enemy is growing in power once more. As Sonea learns more, she begins to doubt her guildmaster's word. Could the truth really be as terrifying as Akkarin claims, or is he trying to trick her into assisting in some unspeakably dark scheme?;English;['Fantasy', 'Magic', 'Young Adult', 'Fiction', 'High Fantasy', 'Romance', 'Epic Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Audiobook'];Paperback;644
Die for Me;Amy Plum (Goodreads Author);3.98;In the City of Lights, two star-crossed lovers battle a fate that is destined to tear them apart again and again for eternity.When Kate Mercier's parents die in a tragic car accident, she leaves her life--and memories--behind to live with her grandparents in Paris. For Kate, the only way to survive her pain is escaping into the world of books and Parisian art. Until she meets Vincent.Mysterious, charming, and devastatingly handsome, Vincent threatens to melt the ice around Kate's guarded heart with just his smile. As she begins to fall in love with Vincent, Kate discovers that he's a revenant--an undead being whose fate forces him to sacrifice himself over and over again to save the lives of others. Vincent and those like him are bound in a centuries-old war against a group of evil revenants who exist only to murder and betray. Kate soon realizes that if she follows her heart, she may never be safe again.;English;['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Paranormal Romance', 'Zombies', 'Supernatural', 'Urban Fantasy', 'Fiction', 'Young Adult Paranormal'];Hardcover;341
Bird by Bird: Some Instructions on Writing and Life;Anne Lamott (Goodreads Author);4.23;"""Thirty years ago my older brother, who was ten years old at the time, was trying to get a report on birds written that he'd had three months to write. [It] was due the next day. We were out at our family cabin in Bolinas, and he was at the kitchen table close to tears, surrounded by binder paper and pencils and unopened books on birds, immobilized by the hugeness of the task ahead. Then my father sat down beside him, put his arm around my brother's shoulder, and said. 'Bird by bird, buddy. Just take it bird by bird.'""With this basic instruction always in mind, Anne Lamott returns to offer us a new gift: a step-by-step guide on how to write and on how to manage the writer's life. From ""Getting Started,' with ""Short Assignments,"" through ""Shitty First Drafts,"" ""Character,"" ""Plot,"" ""Dialogue."" all the way from ""False Starts"" to ""How Do You Know When You're Done?"" Lamott encourages, instructs, and inspires. She discusses ""Writers Block,"" ""Writing Groups,"" and ""Publication."" Bracingly honest, she is also one of the funniest people alive.If you have ever wondered what it takes to be a writer, what it means to be a writer, what the contents of your school lunches said about what your parents were really like, this book is for you. From faith, love, and grace to pain, jealousy, and fear, Lamott insists that you keep your eyes open, and then shows you how to survive. And always, from the life of the artist she turns to the art of life.";;['Writing', 'Nonfiction', 'Memoir', 'Self Help', 'Reference', 'Essays', 'Biography', 'Humor', 'Audiobook', 'Crafts'];Paperback;237
Women;Charles Bukowski;3.85;Alternate cover for this ISBN can be found hereLow-life writer and unrepentant alcoholic Henry Chinaski was born to survive. After decades of slacking off at low-paying dead-end jobs, blowing his cash on booze and women, and scrimping by in flea-bitten apartments, Chinaski sees his poetic star rising at last. Now, at fifty, he is reveling in his sudden rock-star life, running three hundred hangovers a year, and maintaining a sex life that would cripple Casanova.With all of Bukowski's trademark humor and gritty, dark honesty, this 1978 follow-up to Post Office and Factotum is an uncompromising account of life on the edge.;English;['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Poetry', 'Contemporary', 'Thriller', 'Humor', 'The United States Of America'];Paperback;291
Four: A Divergent Story Collection;Veronica Roth (Goodreads Author);4.04;Two years before Beatrice Prior made her choice, the sixteen-year-old son of Abnegation’s faction leader did the same. Tobias’s transfer to Dauntless is a chance to begin again. Here, he will not be called the name his parents gave him. Here, he will not let fear turn him into a cowering child.Newly christened “Four,” he discovers during initiation that he will succeed in Dauntless. Initiation is only the beginning, though, Four must claim his place in the Dauntless hierarchy. His decisions will affect future initiates as well as uncover secrets that could threaten his own future—and the future of the entire faction system.Two years later, Four is poised to take action, but the course is still unclear. The first new initiate who jumps into the net might change all that. With her, the way to righting their world might become clear. With her, it might become possible to be Tobias once again.From #1 New York Times bestselling author Veronica Roth comes a companion volume to the worldwide bestselling DIVERGENT series, told from the per-spective of the immensely popular character Tobias. The four pieces included here—THE TRANSFER, THE INITIATE, THE SON, and THE TRAITOR—plus three additional exclusive scenes, give readers an electrifying glimpse into the history and heart of Tobias, and set the stage for the epic saga of the DIVERGENT trilogy.;English;['Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Fantasy', 'Short Stories', 'Romance', 'Novella', 'Audiobook', 'Teen'];Paperback;208
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character";Richard P. Feynman;4.27;A New York Times bestseller—the outrageous exploits of one of this century's greatest scientific minds and a legendary American original.Richard Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek, cracking the uncrackable safes guarding the most deeply held nuclear secrets, accompanying a ballet on his bongo drums, painting a naked female toreador. In short, here is Feynman's life in all its eccentric—a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.;;['Science', 'Nonfiction', 'Biography', 'Physics', 'Memoir', 'Autobiography', 'Humor', 'History', 'Biography Memoir', 'Audiobook'];Paperback;400
Bone Crossed;Patricia Briggs;4.34;By day, Mercy is a car mechanic in the sprawling Tri-Cities of Eastern Washington. By night, she explores her preternatural side. As a shapeshifter with some unique talents, Mercy has often found herself having to maintain a tenuous harmony between the human and the not so human. This time she may get more than she bargained for.Marsilia, the local Vampire Queen, has learned that Mercy crossed her by slaying a member of her clan—and she's out for blood. But since Mercy is protected from direct reprisal by the werewolf pack (and her close relationship with its sexy Alpha), it won't be Mercy's blood Marsilia is after.It'll be her friends'.;English;['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Romance', 'Werewolves', 'Paranormal Romance', 'Shapeshifters', 'Fiction', 'Supernatural'];Paperback;300
The Heir;Kiera Cass (Goodreads Author);3.78;Princess Eadlyn has grown up hearing endless stories about how her mother and father met. Twenty years ago, America Singer entered the Selection and won the heart of Prince Maxon - and they lived happily ever after. Eadlyn has always found their fairy-tale story romantic, but she has no interest in trying to repeat it. If it were up to her, she'd put off marriage for as long as possible.But a princess's life is never entirely her own, and Eadlyn can't escape her very own Selection—no matter how fervently she protests.Eadlyn doesn't expect her story to end in romance. But as the competition begins, one entry may just capture Eadlyn's heart, showing her all the possibilities that lie in front of her . . . and proving that finding her own happily ever after isn't as impossible as she's always thought.;English;['Young Adult', 'Romance', 'Dystopia', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction', 'Teen', 'Chick Lit', 'Young Adult Fantasy'];Kindle Edition;342
Royal Assassin;Robin Hobb (Goodreads Author);4.22;Fitz has survived his first hazardous mission as king’s assassin, but is left little more than a cripple. Battered and bitter, he vows to abandon his oath to King Shrewd, remaining in the distant mountains. But love and events of terrible urgency draw him back to the court at Buckkeep, and into the deadly intrigues of the royal family. Renewing their vicious attacks on the coast, the Red-Ship Raiders leave burned-out villages and demented victims in their wake. The kingdom is also under assault from within, as treachery threatens the throne of the ailing king. In this time of great danger, the fate of the kingdom may rest in Fitz’s hands—and his role in its salvation may require the ultimate sacrifice.;English;['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Audiobook', 'Adult', 'Epic'];Kindle Edition;675
Only the Good Spy Young;Ally Carter (Goodreads Author);4.29;When Cammie Morgan enrolled at the Gallagher Academy, she knew she was preparing for the dangerous life of a spy. What she didn’t know was that the serious, real-life danger would start during her junior year of high school. But that’s exactly what happened two months ago when Cammie faced off against an ancient terrorist organization dead set on kidnapping her.Now the danger follows her everywhere, and even Cammie “The Chameleon” can’t hide. When a terrifying encounter in London reveals that one of her most-trusted allies is actually a rogue double-agent, Cammie no longer knows if she can trust her classmates, her teachers—or even her own heart.In this fourth installment of the New York Times best-selling series, the Gallagher Girls must hack, spy, steal, and lie their way to the truth.as they go searching for answers, recognizing that the key to Cammie’s future may lie deep in the past.;English;['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Espionage', 'Fiction', 'Adventure', 'Chick Lit', 'Teen', 'Action'];Hardcover;265
